red,gray,blue,hue,saturation,value,rata-rata,st deviasi,varians,skewness,kurtsosis,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135,label
25.96212313,10.74070887,12.05120881,170.9628264,152.1214234,30.7690923,57.31527976,65.70708882,4317.421521,-1.281049057,4.023489328,12.97199043,13.34068477,12.36682356,13.51231091,0.941202313,0.938170241,0.945752555,0.936213255,0.14160833,0.139642947,0.151156907,0.136880449,499.7614923,521.7998784,462.6918104,538.3192836,0.000561076,0.000538237,0.000578187,0.000493523,0.023687041,0.023199925,0.024045524,0.022215376,0
25.62362279,10.45357293,11.67864653,171.8744458,154.5159424,29.87972334,49.31765129,59.1126409,3494.304314,-1.616355329,3.107038004,12.59431315,12.90103027,11.41147683,12.87549812,0.93430791,0.931112256,0.942802197,0.929785996,0.141606371,0.138426244,0.158810449,0.141004955,448.7905872,467.7844641,394.6266854,476.7888814,0.000617222,0.000589676,0.000700894,0.000595036,0.024843945,0.024283238,0.026474409,0.024393365,0
25.50054897,12.26324131,13.72343066,169.2710619,138.550883,28.06390992,64.58502395,75.61192562,5717.163295,-0.620871662,4.341103145,11.30696493,11.80780195,10.75191636,11.87432693,0.959018474,0.955708813,0.961479305,0.95438571,0.166283732,0.160419096,0.172483662,0.159600914,462.8248187,498.3917124,437.2239432,513.2793932,0.000692937,0.000662479,0.000727297,0.000623412,0.026323704,0.025738674,0.026968437,0.024968223,0
26.16307899,10.39230215,9.811977446,3.569233053,167.4338914,42.34583133,66.64997248,77.18690956,5957.819007,-1.326052917,6.293051484,10.83875646,11.52907546,10.79733565,11.4969895,0.967675285,0.961221515,0.965374952,0.963380558,0.158554959,0.154031167,0.163173813,0.149984592,381.458995,454.9111618,408.6109109,429.5853973,0.000614525,0.000589693,0.000652707,0.000566742,0.024789623,0.024283593,0.025548122,0.023806348,0
26.93694597,10.77102521,10.24768537,3.371684683,165.5300162,43.08023288,67.93012259,75.76928025,5740.98383,-0.976382744,7.339752784,10.99899361,11.84773276,10.90937763,11.4939793,0.964155795,0.956892705,0.961334531,0.959055121,0.161843472,0.15628127,0.172217142,0.158715417,405.8337438,486.1562784,440.3328785,461.7675315,0.000622635,0.000582073,0.000668714,0.000590094,0.024952664,0.024126194,0.025859508,0.024291842,0
29.66007286,11.69801812,11.0204203,3.885201308,168.1656702,49.50297211,56.99574178,66.00870139,4357.148659,-0.54046449,2.268489206,11.50036117,11.98407027,11.0653244,12.23386309,0.953437987,0.947979637,0.954350979,0.946489905,0.153678807,0.148550562,0.162735743,0.147904686,397.5792758,441.1329146,392.6118212,453.7676958,0.000592535,0.000570164,0.000634363,0.000543083,0.02434204,0.023878114,0.025186573,0.023304137,0
26.23031312,10.81557295,10.00501999,3.622176003,163.7602802,40.60553362,56.61950574,70.1475427,4920.677748,-1.773438823,2.669194219,11.30540643,11.92756483,10.93216881,11.55370553,0.959054156,0.952144324,0.958696367,0.95676104,0.157456547,0.154053326,0.165034111,0.151668773,396.5945491,461.949235,403.227349,417.3813818,0.000765314,0.000741006,0.000807198,0.000702367,0.027664317,0.027221424,0.028411224,0.026502199,0
26.54938928,10.86614335,10.24108289,3.474537103,165.8243672,42.74173085,73.47714631,78.31582196,6133.36797,-1.019604485,4.241789095,11.09215087,11.44794879,10.32859297,11.40731888,0.967365903,0.964581273,0.970118712,0.964477251,0.156434795,0.152284373,0.170564753,0.154829338,395.997503,428.339239,364.100714,429.5957073,0.000594829,0.000556907,0.000649953,0.000557744,0.024389111,0.023598869,0.02549418,0.023616597,0
26.07485621,10.82579953,10.20935894,3.657308981,159.8555203,43.99110986,54.60443117,64.38960634,4146.021404,-0.846000542,3.662496036,11.8704289,12.20893068,10.71757425,12.00843908,0.946722614,0.942900393,0.955276989,0.945672487,0.155046786,0.151812837,0.171232252,0.153801215,433.4215966,460.734168,365.4816103,438.3686397,0.000717878,0.000687572,0.000816649,0.000684796,0.026793252,0.02622159,0.028577068,0.026168613,0
28.04972984,11.38884176,10.21480139,4.010111138,166.04668,45.31563631,53.71474962,63.41212505,4021.097603,-1.537261986,3.627596282,11.83089626,12.68831962,11.80250652,12.35085785,0.948528257,0.939469099,0.944426064,0.941675085,0.149210695,0.141192427,0.156715905,0.143179394,407.4175939,473.320051,438.6506723,456.0640509,0.000625261,0.0005726,0.000666713,0.000577856,0.025005218,0.023929054,0.025820777,0.024038642,0
26.52905373,10.29805014,9.458913649,3.67690642,168.3403015,43.86376537,50.64536779,60.69425974,3683.793166,-1.352919686,2.461346853,11.39445314,12.21556553,11.045726,11.69120726,0.947337176,0.938963367,0.948764892,0.943477721,0.15339619,0.144429937,0.162373804,0.151411976,379.6962066,436.9814967,372.356557,404.6590109,0.000617688,0.000554217,0.000630584,0.000576905,0.024853322,0.023541808,0.025111427,0.024018855,0
27.82645978,10.96425173,9.656415802,3.940114262,169.6958488,45.6740889,55.69678282,66.6152129,4437.58659,-0.599692236,3.220467307,12.48601479,12.46104357,11.33737997,13.0827572,0.945040777,0.946112796,0.952590677,0.937972254,0.146941903,0.147022579,0.16451751,0.142273002,477.0502381,465.1841005,415.7237258,535.4495859,0.000625925,0.000616633,0.000692528,0.000564307,0.025018485,0.024832104,0.026315917,0.023755139,0
25.7068909,10.16868322,9.340920452,3.588571317,167.4786837,41.94004715,62.82469922,72.64614415,5277.46226,-1.216922914,4.276231864,11.54615419,12.22409757,11.02148734,11.77747196,0.958277982,0.951404273,0.958583076,0.955057555,0.163516667,0.156727735,0.174184952,0.162209992,433.5979203,501.6648861,432.0284259,463.9409208,0.000748556,0.000700674,0.000805699,0.000698677,0.027359756,0.02647024,0.02838484,0.026432493,0
24.57265333,11.28338484,12.93304605,168.848194,142.3184473,28.71469155,52.05967489,64.92163246,4214.818361,-2.198269263,5.608410388,11.91272569,12.64749803,12.15402475,12.96838254,0.946792386,0.9380464,0.941891024,0.937118474,0.151433603,0.145343132,0.153163363,0.140591176,439.7723703,508.0373722,482.8400832,515.6438251,0.000692236,0.000662552,0.000722756,0.000614445,0.026310381,0.025740078,0.026884118,0.024787999,0
26.47366483,10.5586927,9.359225614,3.843064608,169.2732104,42.31619317,58.1548874,67.0802549,4499.760598,-0.600007309,2.418108378,10.94373422,11.70051095,10.37103121,11.23457452,0.956347527,0.949139446,0.959668488,0.954800158,0.165260909,0.156457673,0.171413415,0.159057062,387.8071553,449.3504056,359.4362141,399.3704839,0.000707878,0.000655972,0.000744463,0.000640598,0.026605974,0.025611941,0.027284853,0.025310035,0
25.8601496,10.66429173,9.471845008,4.127514892,163.8698752,43.41215982,53.49013945,64.21969287,4124.168952,-0.925504776,3.035251741,11.20519997,11.84607061,11.04683983,11.91024561,0.951858783,0.945135231,0.949443018,0.943424203,0.160316714,0.156355243,0.172774303,0.155683024,388.7084828,441.5813284,413.2828177,455.3495432,0.000726718,0.000708604,0.000803426,0.00066665,0.026957699,0.026619618,0.028344776,0.025819576,0
25.91063876,9.731951039,8.866346962,3.912993333,176.7350696,43.66210726,49.31877617,60.35311854,3642.498917,-0.275394133,2.547221569,12.09910007,12.51833399,11.41486679,12.55289854,0.939029725,0.933443089,0.943106528,0.933662084,0.159496185,0.15555593,0.168895886,0.152308276,434.2951122,471.0093212,408.9875405,469.4581676,0.000878107,0.000854532,0.000955532,0.000799053,0.029632863,0.029232386,0.030911673,0.028267529,0
26.97394888,11.05005424,10.32182297,3.60894224,163.781848,45.16631521,50.5337709,60.44652536,3653.782429,-0.69228695,2.959617507,12.12539756,12.76297529,11.6964785,12.67555363,0.935780271,0.928383108,0.938575295,0.928575978,0.160230924,0.149953419,0.162127502,0.152430756,457.2152721,505.7853844,441.7842508,504.4136868,0.000735185,0.000655643,0.000702821,0.000641398,0.027114292,0.025605535,0.026510775,0.025325844,0
33.1544703,16.09838298,14.27197744,3.545290235,169.0325597,36.5923355,85.54237112,83.8598351,7032.471944,-0.056464925,0.92854977,11.09485485,10.69860834,10.58022916,12.30969175,0.967746533,0.971286546,0.971241045,0.960842904,0.167581807,0.169295571,0.167871927,0.152302107,451.1791312,400.7393607,402.8850434,546.5622328,0.000589741,0.000561816,0.000603631,0.000535364,0.024284587,0.023702662,0.024568904,0.023137926,0
23.14710419,8.418126614,7.820982643,3.647484861,175.9867362,36.563515,66.37587063,77.1206717,5947.598003,-1.579352833,2.885595967,9.473732685,10.40529138,10.30505489,10.60070396,0.972823226,0.966953078,0.966255535,0.964045107,0.192028101,0.181556404,0.189520419,0.183383565,319.8421647,387.7749138,398.9291092,421.8735618,0.001044755,0.000925862,0.001107907,0.001024441,0.032322673,0.030427973,0.033285241,0.032006885,0
36.0564122,16.80774371,14.04146137,3.720196161,175.9664435,39.42210799,99.76878241,92.07335921,8477.503477,-1.143301008,1.976209684,9.964716229,10.11003478,9.767293242,11.12404058,0.978077232,0.977831084,0.979569909,0.97267356,0.177509088,0.172109591,0.170567187,0.162236039,370.5406959,374.1786261,345.5375772,461.2465681,0.000658456,0.000595563,0.000618894,0.000595328,0.025660401,0.024404164,0.024877571,0.024399352,0
25.29084637,10.36068844,9.102942237,4.253764179,170.6673566,40.55546619,68.73206681,76.31044442,5823.283928,-0.923098072,0.580800814,10.2186095,10.97409763,10.8570541,11.52344939,0.965489987,0.962746425,0.963863184,0.959031447,0.18743445,0.172130857,0.171562627,0.166011635,397.4137906,425.4215862,415.493807,467.7956145,0.000768292,0.000673327,0.000714471,0.000691757,0.027718076,0.025948546,0.026729589,0.026301275,0
